,endTime,artistName,trackName,msPlayed
0,2020-12-13 15:17,Avicii,Taste The Feeling (Avicii Vs. Conrad Sewell),131738
1,2020-12-14 12:50,Robin Schulz,All We Got (feat. KIDDO),190218
2,2020-12-14 12:53,Pink Sweat$,At My Worst,170344
3,2020-12-14 12:56,Jack Harlow,Tyler Herro,156497
4,2020-12-14 12:59,Clairo,Sofia,188386
5,2020-12-14 13:03,Harry Styles,Golden,208906
6,2020-12-14 13:05,Ashnikko,Daisy,146523
7,2020-12-14 13:08,KAROL G,BICHOTA,178946
8,2020-12-14 13:09,DaBaby,ROCKSTAR (feat. Roddy Ricch),71673
9,2020-12-14 15:07,DaBaby,ROCKSTAR (feat. Roddy Ricch),6061
10,2020-12-14 15:08,Conan Gray,Heather,59183
11,2020-12-14 15:09,Taylor Swift,willow,112778
12,2020-12-14 15:10,The Chainsmokers,Something Just Like This,13338
13,2020-12-14 15:14,Coldplay,A Head Full of Dreams,223773
14,2020-12-14 15:39,Coldplay,Birds,42103
15,2020-12-14 19:39,Sid Sriram,Kannaana Kanney,270086
16,2020-12-14 19:55,G. V. Prakash,Pookkal Pookkum,265354
17,2020-12-15 09:17,In Focus by The Hindu,Mt. Everest: How geopolitics settled a geographical point | The Hindu In Focus podcast,816074
18,2020-12-15 15:18,Philosophize This!,Episode #148 ... On Media pt. 1 - Manufacturing Consent,953040
19,2020-12-16 14:56,Philosophize This!,Episode #148 ... On Media pt. 1 - Manufacturing Consent,539640
20,2020-12-16 15:08,Pritam,Aabaad Barbaad,309103
21,2020-12-16 15:11,Pritam,Hardum Humdum,188000
22,2020-12-16 15:45,Pritam,Meri Tum Ho,26192
23,2020-12-17 13:16,S. P. Balasubrahmanyam,Uppongela Godavari,543700
24,2020-12-17 13:21,Shankar Mahadevan,Manasa Gelupu,2332
25,2020-12-17 13:21,Unnikrishnan,Manasavacha,287613
26,2020-12-17 13:21,Shreya Ghoshal,Tippulu Tappulu,19043
27,2020-12-17 13:22,Suneetha,Andangalena,1856
28,2020-12-17 13:25,Gayathri,Ramachakkani Sitha,231973
29,2020-12-17 13:27,Gayathri,Uppongela Godavari,107746
30,2020-12-17 13:33,S. P. Balasubrahmanyam,Uppongela Godavari,294013
31,2020-12-17 13:37,Unnikrishnan,Manasavacha,287613
32,2020-12-17 13:38,Shreya Ghoshal,Tippulu Tappulu,12063
33,2020-12-17 13:38,Hariharan,Yamunatheeram,10557
34,2020-12-17 13:46,Hariharan,Yamunatheeram,230795
35,2020-12-17 13:52,Shreya Ghoshal,Vachhe Vachhe,273933
36,2020-12-17 13:57,Shreya Ghoshal,Nuvvena,293840
37,2020-12-17 14:01,Lucky Ali,Charumati,248573
38,2020-12-17 14:05,Shreya Ghoshal,Telisi Telisi,234922
39,2020-12-17 14:06,Hariharan,Yedaloganam,52415
40,2020-12-17 14:10,Gayathri,Ramachakkani Sitha,231973
41,2020-12-17 14:21,Gayathri,Uppongela Godavari,19082
42,2020-12-17 17:40,Sid Sriram,Yaen Ennai Pirindhaai,9160
43,2020-12-17 17:43,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,198250
44,2020-12-17 17:46,Sid Sriram,Yaen Ennai Pirindhaai,198250
45,2020-12-17 17:50,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,198250
46,2020-12-17 18:00,Sid Sriram,Yaen Ennai Pirindhaai,5035
47,2020-12-18 14:57,Sid Sriram,Yaen Ennai Pirindhaai,193626
48,2020-12-18 15:01,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,198250
49,2020-12-18 15:04,Sid Sriram,Yaen Ennai Pirindhaai,198250
50,2020-12-18 15:07,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,198250
51,2020-12-18 15:11,Sid Sriram,Yaen Ennai Pirindhaai,198250
52,2020-12-18 15:14,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,198250
53,2020-12-18 15:17,Sid Sriram,Yaen Ennai Pirindhaai,198250
54,2020-12-18 15:21,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,198250
55,2020-12-18 15:24,Sid Sriram,Yaen Ennai Pirindhaai,198250
56,2020-12-18 15:40,Sid Sriram,Yaen Ennai Pirindhaai - Tamil,46885
57,2020-12-18 18:41,Bombay Jayashri,Vaseegara,10611
58,2020-12-18 18:41,Tippu,Poopol Poopol,116706
